source_param,sweep_val,re_encoded_Rbv,re_encoded_Cbv,re_encoded_Rdv,re_encoded_Ldv,re_encoded_Cdv,re_encoded_Rav
Rbv,1.1898735,0.7526933,0.21905138,0.27698943,0.013631637,-0.055886213,0.1599688
Rbv,1.2405063,0.7682536,0.21866114,0.27727103,0.012863432,-0.055487078,0.15912044
Rbv,1.2911392,0.7830939,0.21828689,0.2776487,0.012197331,-0.055066213,0.1583548
Rbv,1.3417722,0.7972582,0.21792817,0.27811596,0.011623098,-0.054624915,0.15765591
Rbv,1.392405,0.81078595,0.21758413,0.27867597,0.011149732,-0.054161817,0.15703163
Rbv,1.443038,0.8237146,0.21725442,0.27931908,0.010767379,-0.05367845,0.15646985
Rbv,1.493671,0.83608085,0.21693797,0.2800474,0.010479525,-0.053173322,0.15598263
Rbv,1.5443038,0.8479179,0.21663406,0.28085858,0.010287014,-0.052646715,0.15556891
Rbv,1.5949367,0.85925573,0.21634191,0.28175253,0.010192549,-0.052097954,0.1552241
Rbv,1.6455696,0.87012583,0.21606138,0.28272292,0.0101862205,-0.051527902,0.15495121
Rbv,1.6962025,0.88055474,0.21579091,0.2837715,0.010274776,-0.05093572,0.15475018
Rbv,1.7468355,0.89057153,0.2155307,0.28488684,0.010441812,-0.05032265,0.15460229
Rbv,1.7974683,0.9001954,0.21527916,0.28607982,0.010705249,-0.049686603,0.15453982
Rbv,1.8481013,0.90945274,0.2150361,0.28733668,0.011044375,-0.049029507,0.15453203
Rbv,1.8987342,0.9183638,0.21480049,0.28866172,0.011469704,-0.04835003,0.15458895
Rbv,1.949367,0.92694855,0.21457137,0.29004833,0.0119730905,-0.04764863,0.15471129
Rbv,2.0,0.93522644,0.21434906,0.29149503,0.012552742,-0.046925828,0.15489662
Cbv,-2.0,0.34222525,-1.9726386,0.28208733,-0.09594686,0.020215176,0.15952623
Cbv,-1.949367,0.35269564,-1.9267681,0.2898028,-0.076604925,0.018988006,0.15414122
Cbv,-1.8987342,0.36261,-1.8795247,0.2986756,-0.061442442,0.016759872,0.14928958
Cbv,-1.8481013,0.37121743,-1.830437,0.30825588,-0.050489694,0.013245478,0.14535414
Cbv,-1.7974683,0.37767836,-1.7792484,0.31790805,-0.04277455,0.008440964,0.14253944
Cbv,-1.7468355,0.38128746,-1.7261485,0.32696328,-0.036317803,0.0027465895,0.14093795
Cbv,-1.6962025,0.381711,-1.6718066,0.3348589,-0.028710991,-0.0031027421,0.1405088
Cbv,-1.6455696,0.3791626,-1.6171159,0.34128812,-0.01796914,-0.008317441,0.14115736
Cbv,-1.5949367,0.37442118,-1.5628184,0.34624544,-0.0032495013,-0.012361839,0.14285958
Cbv,-1.5443038,0.36864552,-1.5092868,0.35000432,0.015011059,-0.015096016,0.145675
Cbv,-1.493671,0.36304656,-1.4565045,0.35296097,0.03545917,-0.016710714,0.14961226
Cbv,-1.443038,0.35856274,-1.4041697,0.35548854,0.056515563,-0.017542332,0.15451774
Cbv,-1.392405,0.35566482,-1.3518382,0.35779786,0.0767805,-0.017915197,0.16008331
Cbv,-1.3417722,0.35434735,-1.2990817,0.35992306,0.0952502,-0.018050216,0.16593096
Cbv,-1.2911392,0.35425395,-1.2456179,0.36178127,0.11125948,-0.018065676,0.17173828
Cbv,-1.2405063,0.3548611,-1.1913834,0.363251,0.12438818,-0.018011063,0.17724496
Cbv,-1.1898735,0.3556511,-1.1365308,0.36428726,0.13448882,-0.017892696,0.18233302
Cbv,-1.1392405,0.35621578,-1.0813651,0.36491644,0.14155425,-0.017706878,0.18693525
Cbv,-1.0886075,0.35629407,-1.0262568,0.36524484,0.14574134,-0.01744277,0.19106027
Cbv,-1.0379747,0.35575765,-0.97155946,0.3654015,0.14727971,-0.017094865,0.1947434
Cbv,-0.98734176,0.35457826,-0.9175536,0.3654911,0.14641845,-0.016668253,0.1980134
Cbv,-0.93670887,0.35278445,-0.86442196,0.36557752,0.14345577,-0.0161793,0.200905
Cbv,-0.886076,0.35043943,-0.8122524,0.36566854,0.13868828,-0.015661523,0.20344998
