param,closure_error_mean,closure_error_max
Rbv,0.009360902,0.027090967
Cbv,0.0022702776,0.008462857
Rdv,0.008242024,0.03827928
Cdv,0.0028606644,0.010574374
Rav,0.014798975,0.036059797
