source_param,sweep_val,re_encoded_Rbv,re_encoded_Cbv,re_encoded_Rdv,re_encoded_Cdv,re_encoded_Rav
Rbv,0.9272152,0.9400789,0.67312235,0.7600323,0.501685,0.49110645
Rbv,0.9386076,0.94811696,0.6730708,0.7597788,0.50164473,0.49133012
Rbv,0.95,0.95464873,0.67287964,0.7597054,0.50160843,0.49165675
Cbv,0.05,0.77889985,0.05846286,0.74816215,0.5094336,0.5063892
Cbv,0.061392404,0.7832383,0.0697994,0.74544334,0.50863266,0.50244695
Cbv,0.07278481,0.78571236,0.07796631,0.74165106,0.5091432,0.5037951
Cbv,0.08417722,0.78790796,0.086346105,0.74067616,0.5087384,0.50573987
Cbv,0.09556962,0.7932473,0.096327476,0.73922485,0.50718325,0.50853753
Cbv,0.106962025,0.79295653,0.10716673,0.74070764,0.5041438,0.50869364
Cbv,0.11835443,0.79324484,0.117866926,0.7405591,0.50222886,0.50699204
Cbv,0.12974684,0.79520214,0.12886132,0.73705876,0.50126404,0.5057959
Cbv,0.14113924,0.7967415,0.13946998,0.7361687,0.49990878,0.50073683
Cbv,0.15253164,0.7947969,0.14834619,0.7338188,0.50158095,0.4958914
Cbv,0.16392405,0.7926755,0.15844886,0.7331598,0.50381494,0.49119532
Cbv,0.17531645,0.790172,0.16979685,0.7364292,0.5074006,0.49174723
Cbv,0.18670887,0.7884382,0.18116163,0.740905,0.50827724,0.495075
Cbv,0.19810127,0.7900047,0.1925502,0.7456326,0.50779706,0.5012712
Cbv,0.20949367,0.791906,0.20436352,0.7476486,0.5061168,0.50329065
Cbv,0.22088608,0.793772,0.21782282,0.7492352,0.5049619,0.50316375
Cbv,0.23227848,0.7904479,0.2319255,0.75081056,0.5031853,0.5016016
Cbv,0.24367088,0.787008,0.24636343,0.7516986,0.50058305,0.50086063
Cbv,0.2550633,0.7851792,0.25919056,0.7521002,0.49594265,0.49855474
Cbv,0.2664557,0.7840234,0.27128983,0.7522994,0.49135885,0.49610278
