epoch,train_total,train_recon,train_phys,train_passiv,train_smooth,val_total,val_mape
1,1.403128515652248,0.7603287296976362,0.042853080904909545,0.011573359069530852,0.0,0.9436801977157593,15.136267565603788
2,0.8422327430588858,0.4692080419063568,0.024866278254560063,0.024745715586202484,0.0,0.7091509022712708,12.311316840478773
3,0.6716333090918405,0.3365982405458178,0.022333834448031015,0.00992795305326581,0.0,0.5955030783017476,12.10561896117988
4,0.5545124450070518,0.23912395029408592,0.021024142897554807,0.005341147137539727,0.0,0.4688554145495097,11.536232205584113
5,0.45945274690219334,0.15602500148330417,0.020226624207837243,0.003683254364744893,0.0,0.40062363211313884,11.59146817111025
6,0.3969171792098454,0.10294862593923296,0.019596489699823517,0.0019110715008739915,0.0,0.36696102142333986,10.760039817444842
7,0.3709661662578583,0.07732949132578713,0.019574389749339647,0.0013795974778809718,0.0,0.3144775974750519,10.720535566038757
8,0.3364310043879918,0.06133327698707581,0.01833870099697794,0.0008731626723227756,0.0,0.2984227018356323,10.188941435658617
9,0.327721716267722,0.054741499389920914,0.018196996605822018,0.0010131036071106792,0.0,0.2843792507648468,9.59837183707168
10,0.3232385897295816,0.05273529520205089,0.018031826141689505,0.0008415459480269679,0.0,0.2820995904604594,9.67560538265578
11,0.3049622535705566,0.0452383206146104,0.017312685623764992,0.000904000007281346,0.0,0.26287273470560707,9.107376310297395
12,0.2961651230539594,0.04189878789867674,0.016949195363691875,0.000641469788429926,0.0,0.25936084298292794,8.611345601249493
13,0.2950028911999294,0.0422888183423451,0.016844265344951835,0.0009643888043688743,0.0,0.25823538641134897,8.362442701454382
14,0.2906449111189161,0.04262489040408816,0.016531976893544197,0.0006704760212201758,0.0,0.2547204284667969,8.999401670152682
15,0.2887446187564305,0.03916026381935392,0.01663637926535947,0.0005597146467022997,0.0,0.26350913461049397,8.867608288846194
16,0.2819195008277893,0.03593477113332067,0.016396479340536254,0.00047795435041604964,0.0,0.261659172018369,8.954545134128953
17,0.2725329214164189,0.03351417219638825,0.015932286332760538,0.0003888209726927536,0.0,0.2451550352970759,8.154279161408645
18,0.2743251917702811,0.03405612065749509,0.016015753374568054,0.0003301361021003686,0.0,0.2712088826497396,8.00108314532331
19,0.26966820124217444,0.03193355766790254,0.015846636713615487,0.0003175345825709103,0.0,0.25649040802319845,8.049775383937424
20,0.27642346828324454,0.035278121330908366,0.016073755777307918,0.0003188355369295875,0.0,0.2356451077858607,7.991715629800793
21,0.2654456239087241,0.03140978575391429,0.01560000705080373,0.00026508872319079405,0.0,0.24529326379299163,7.617630785907711
