PC,Rbv,Cbv,Rdv,Ldv,Cdv,Rav
PC1,-0.747293307631427,-0.1337523847152283,-0.12621423174396415,0.01670407043617188,0.04253362336014705,0.0009848496822422211
PC2,0.10335931035856137,-0.9847583254649744,0.02349027103170419,-0.00692225277702617,0.0011088460469940932,0.0013058921686393175
PC3,-0.018616749514320925,-0.0030491938540208757,-0.10293674971016309,0.036359242726699284,-0.9853537435742018,0.00014274868571284018
PC4,-0.00390903331754692,0.09290050102677973,0.03010644475391567,0.01837707845354295,-0.004560228046942241,-0.01022836960715711
PC5,-0.0982388709320128,0.019162875659514595,0.7603294231647832,0.027437314542515294,-0.1225194698636539,-0.03227308480591649
PC6,0.0905487923408501,0.03647379249532502,-0.2943858939264465,-0.007903593867228666,0.060565653219767486,0.013199777638864959
PC7,-0.024101058507080626,0.005552383252957898,0.036626616067001794,0.21683271668616752,0.0643132451311636,-0.5000888317792972
PC8,-0.003143604561361336,-0.04198832339940141,0.003930533689457626,0.017002689371737673,0.00159297454177019,-0.013000894792402904
PC9,0.036754027871357134,0.0019518832360420268,-0.024618150656476146,-0.04309142958608282,-0.003845039127201055,0.0874058230550065
PC10,0.055651022949652885,-0.004692243628034045,-0.12167403840063763,-0.13459318765000267,-0.0409824913156896,-0.4338648440720427
