PC,Rbv,Cbv,Rdv,Ldv,Cdv,Rav
PC1,-0.747293307631432,-0.1337523847152284,-0.12621423174396482,0.01670407043617174,0.04253362336014724,0.0009848496822422183
PC2,0.10335931035856163,-0.9847583254649768,0.023490271031704132,-0.006922252777026149,0.0011088460469941103,0.0013058921686392873
PC3,-0.018616749514320973,-0.003049193854020896,-0.10293674971016319,0.03635924272669927,-0.9853537435742068,0.0001427486857128327
PC4,-0.003909033317546962,0.09290050102678006,0.03010644475391553,0.018377078453543052,-0.004560228046942242,-0.010228369607157194
PC5,-0.0982388709320126,0.019162875659514623,0.7603294231647834,0.027437314542514905,-0.1225194698636535,-0.03227308480591633
PC6,0.0905487923408499,0.036473792495325105,-0.29438589392644743,-0.007903593867228642,0.06056565321976741,0.013199777638865024
PC7,-0.02410105850708101,0.005552383252957837,0.03662661606700151,0.2168327166861679,0.06431324513116345,-0.5000888317793019
PC8,-0.0031436045613613475,-0.041988323399401374,0.003930533689457677,0.017002689371737698,0.0015929745417701956,-0.013000894792402934
PC9,0.03675402787135694,0.0019518832360420461,-0.024618150656476063,-0.04309142958608299,-0.0038450391272010537,0.08740582305500584
PC10,0.055651022949653024,-0.004692243628034037,-0.12167403840063869,-0.13459318765000386,-0.0409824913156896,-0.43386484407204007
PC11,0.011805719946619006,-0.006460784763668137,0.00959182438772195,-0.01197682303646673,-0.005396634490552817,0.014295333383502577
PC12,-0.004064396378579887,0.001982404444420567,0.008683143706359388,-0.01318917584109822,0.00023805876678119112,-0.0014760062720851855
PC13,-0.011231351755184315,0.005393396304049867,0.004046513319087768,-0.011401603584505999,-0.003133077933812498,-0.0006716289357891956
PC14,-0.18723368454041997,0.002467783910071885,-0.08254993775309812,-0.17907985519488548,-0.03320564098520381,-0.18839315892815914
PC15,0.019657576563355726,-0.0028592507058972792,-0.004275498970179994,0.011073716195023951,0.001793108467130776,-0.0012074457935990102
PC16,-0.001363793242101969,-0.0015012881151567098,0.00492387384689948,0.0021507666763540987,0.0033500956614129366,0.0013455206634545914
PC17,-0.05303005529529864,-0.002485050279720843,0.007436701701958682,0.015970188583187096,0.0017029266003495374,0.02525626109692338
PC18,0.23306567212311252,-0.0033958033438921905,-0.028112495975451353,-0.1102620247650002,-0.014097854682701805,-0.1598040499932066
PC19,0.0017929269796363625,0.0037847684537943745,-0.0008080861932402613,0.007220175928368279,0.004401796333275026,0.015586950390745093
PC20,0.11316448304250853,-0.0037893047083670762,-0.029237928463060753,0.02857121754191692,-0.006042822473846189,0.17985367351348922
PC21,-0.0568010462134259,-0.0005552233018192089,0.0022259651875510393,0.0017761405636568068,-0.004036351205091828,-0.029034454051703407
PC22,-0.04902201579324634,-0.006844320273027647,-0.006749716621906189,-0.01653178647348528,-0.0010100601480327637,0.013914977503069128
PC23,0.004339686434711349,0.0026228624844029293,-0.0054136657022200736,-0.00950361742162884,-0.009034461677255756,0.01510176685872212
PC24,0.0488856213635638,0.0015546848662713803,-0.0412404311609985,-0.08237733756365073,-0.012016804984358228,0.23919882677692256
PC25,0.08643714779105093,0.0037601408257760685,0.0018597413905337922,0.0483756574792939,-0.0016990700714545797,-0.1615137497887525
PC26,-0.07420823056653948,0.0038309072588936215,-0.005862395813032571,-0.06076562617015094,0.002077784263326706,0.29212547699947544
PC27,0.006684312081345787,-0.008918909382934177,-0.008605720352922914,0.010592254227547917,0.002981379895478087,0.001602488511911709
PC28,0.040828051913169516,0.0019810543759931558,0.019962663335744604,0.026116897686057454,0.008388536667213425,0.22160165351884564
PC29,0.0025644052534748436,-0.0017809747713013913,-0.0004983560336337872,0.006668701847869647,0.002198600989409945,0.009964638746608294
PC30,0.006972528779106036,0.002221655189934632,0.0032792026394678343,-0.00495305393123745,0.004663949686557958,-7.736565535050554e-05
