qty,enc_act_10,enc_act_2,enc_act_5,enc_act_8
tau_d (Ω·fF),0.9650973609079572,0.9807193835978288,0.9895676455443461,0.9926343248301067
"f_d_corner (GHz, log)",0.9650973324719929,0.9807193276934678,0.9895675790411023,0.9926342774779453
tau_b (Ω·fF),0.9968475632338154,0.9807739657489908,0.9843212693510964,0.9927807883764255
"f_b_corner (GHz, log)",0.9968475602627371,0.9807739780302639,0.9843213257686858,0.9927807784338516
log(Rd/Ra),0.9043870331699863,0.8751760493087187,0.9118688310091841,0.9087231996672359
log(Rb/Rd),0.9940232444676674,0.9794283978797454,0.9832724486155838,0.9906886327234096
