Rbv,Cbv,Rdv,Ldv,Cdv,Rav,ratio_Ldv_over_obs
0.40328205,0.16537268,0.4077403,1.0,0.40309703,0.37751627,2.8457465
0.40570447,0.15676072,0.4092611,1.0,0.3923306,0.4144366,2.8113685
0.23872986,0.16673523,0.031912904,1.0,0.39263597,0.44548225,3.920043
0.18082304,0.12035283,0.39740077,1.0,0.38575602,0.3698534,3.4383495
0.4663296,0.19846809,0.40687832,1.0,0.3851955,0.44626316,2.6272445
0.4549184,0.19635426,0.40903607,1.0,0.39943048,0.37871417,2.7196772
0.38048753,0.13971996,0.4211314,1.0,0.39008847,0.39324984,2.8990932
0.41890848,0.11541957,0.37459204,1.0,0.37172067,0.5578926,2.719559
0.39624393,0.19267596,0.41076437,1.0,0.3880708,0.37760344,2.832286
0.4097954,0.17202845,0.40702114,1.0,0.39066294,0.5265458,2.623221
0.14584161,0.087192126,0.40291753,1.0,0.3933758,0.3940798,3.512699
0.4219752,0.13573754,0.3805145,1.0,0.39717436,0.40222842,2.8774827
0.485584,0.20461178,0.40774152,1.0,0.3942767,0.38862497,2.658388
0.14486666,0.11141458,0.39822066,1.0,0.37568992,0.40713525,3.4786792
0.23455305,0.12273657,0.41783935,1.0,0.3751537,0.4550414,3.114636
0.357384,0.16015457,0.41715214,1.0,0.3957446,0.5262635,2.6929517
0.4801829,0.21071403,0.41045323,1.0,0.39608708,0.39346454,2.644241
0.45752206,0.19051981,0.38003668,1.0,0.40481105,0.38960546,2.7434916
0.26378584,0.12916636,0.21798092,1.0,0.3768069,0.39867648,3.6064198
0.3683806,0.20776403,0.40512016,1.0,0.3911611,0.42069757,2.7884305
0.4467639,0.13928892,0.41252068,1.0,0.39355704,0.38753298,2.8095198
0.39418957,0.12691368,0.40345025,1.0,0.38534883,0.46675852,2.814268
0.43039054,0.16138232,0.38868266,1.0,0.38304174,0.5873698,2.562963
0.4218861,0.1716608,0.40422198,1.0,0.38950682,0.3872993,2.8175762
0.33635807,0.13092253,0.40200385,1.0,0.37757605,0.42370853,2.9929922
0.30037403,0.1153321,0.4075578,1.0,0.37993693,0.40871534,3.1018984
0.4470531,0.14874049,0.4101245,1.0,0.3892104,0.45580393,2.7013412
0.26840162,0.16284505,0.40364754,1.0,0.3907854,0.42315897,3.0324373
0.35616842,0.18186238,0.40578574,1.0,0.3924428,0.40030175,2.8792539
0.44894856,0.16380888,0.3188167,1.0,0.4008884,0.40612292,2.875901
0.22308065,0.124376304,0.08509217,1.0,0.38200128,0.4347979,4.002086
0.43856072,0.19199705,0.40442595,1.0,0.37695584,0.530108,2.5746021
0.3481779,0.17991179,0.41531238,1.0,0.38623703,0.3862828,2.9138856
0.44438156,0.18705295,0.06052065,1.0,0.39366254,0.3935097,3.3803713
0.3614966,0.19038664,0.41737205,1.0,0.4060637,0.40012634,2.8161948
0.17887929,0.13541217,0.17138459,1.0,0.3789163,0.55622107,3.5191112
0.2673786,0.12941921,0.40141007,1.0,0.38061288,0.416124,3.1349049
0.4410794,0.13528022,0.31491208,1.0,0.3630681,0.49951333,2.8508658
0.31159312,0.1626604,0.4125768,1.0,0.40081564,0.3975206,2.9670656
0.30211988,0.13708544,0.41878238,1.0,0.39563972,0.5264446,2.808875
0.4532064,0.1976997,0.4046717,1.0,0.3840253,0.44820657,2.6485722
0.20603645,0.097549304,0.40405846,1.0,0.38068852,0.42350414,3.307235
0.33876428,0.16708764,0.27146444,1.0,0.40160915,0.411467,3.1438782
0.37231758,0.11931833,0.39533824,1.0,0.3707998,0.43428925,2.9549723
0.365131,0.13548447,0.41256416,1.0,0.39112392,0.44266802,2.8620958
0.40156698,0.2813266,0.10762224,1.0,0.43172598,0.59091914,2.7576149
0.469477,0.19888379,0.41096267,1.0,0.39107642,0.37695742,2.706569
0.24983913,0.13293335,0.41423073,1.0,0.38800904,0.41745466,3.1201894
0.5028103,0.1807696,0.06035409,1.0,0.40563464,0.5422507,2.955398
0.10304125,0.073013596,0.41279975,1.0,0.36968067,0.42880675,3.6040142
0.42102954,0.19195989,0.41191205,1.0,0.38769585,0.381032,2.787644
0.39664143,0.13008381,0.14111628,1.0,0.38466206,0.6693455,2.9038548
0.37797385,0.16458951,0.40386963,1.0,0.38084304,0.49824166,2.738949
0.36829218,0.10478548,0.28132597,1.0,0.36262524,0.62020785,2.878134
0.44939145,0.17476301,0.39984417,1.0,0.38635013,0.43434933,2.7104707
0.4284583,0.13106036,0.21018699,1.0,0.37933722,0.43896765,3.148594
0.46268803,0.25341123,0.4513734,1.0,0.42027605,0.7193441,2.16723
0.3013557,0.16356494,0.47598335,1.0,0.43529657,0.7803161,2.318554
0.23636934,0.120689735,0.416632,1.0,0.3730305,0.5523295,2.942819
0.3116363,0.12615658,0.40684938,1.0,0.37875316,0.39679807,3.0860512
0.29340488,0.16217707,0.40536997,1.0,0.3977794,0.39768374,3.0185668
0.42884576,0.12029579,0.31799433,1.0,0.3966077,0.41635928,2.9760082
0.40906584,0.13801686,0.4021535,1.0,0.38778403,0.46849766,2.7692883
0.4754581,0.19533873,0.3987521,1.0,0.38811842,0.4642604,2.6015549
0.32141984,0.15076159,0.41504794,1.0,0.37723804,0.4768769,2.8713446
0.47356176,0.2088817,0.39839384,1.0,0.38828894,0.39947438,2.6757991
0.44308475,0.17422993,0.43187684,1.0,0.39898467,0.61862236,2.4192004
0.4457915,0.15901828,0.26052812,1.0,0.3914473,0.4295753,2.964965
0.5051653,0.21550423,0.41672432,1.0,0.38495886,0.3903333,2.614125
0.34289148,0.17402287,0.39778516,1.0,0.37886465,0.5109062,2.770896
0.2011525,0.10350735,0.32175666,1.0,0.3949948,0.4032061,3.5097141
0.28009254,0.121012725,0.4019448,1.0,0.39472714,0.38163316,3.1657386
0.46307868,0.17176862,0.36863598,1.0,0.39680588,0.3901324,2.7926383
0.38323852,0.19065228,0.35059962,1.0,0.38042814,0.5717784,2.6642554
0.42691755,0.17341101,0.41012374,1.0,0.3941318,0.44294104,2.7063231
0.42181686,0.15157151,0.08039152,1.0,0.38422626,0.4264762,3.414176
0.44262564,0.17554162,0.444034,1.0,0.39549878,0.65839416,2.362844
0.34222293,0.145059,0.40556994,1.0,0.39937493,0.3832634,2.9842014
0.4416402,0.15119596,0.41563874,1.0,0.399886,0.39045686,2.7796035
0.14333765,0.08781809,0.40303767,1.0,0.38261282,0.38507822,3.566628
0.3406922,0.12201867,0.37101772,1.0,0.39478666,0.4690486,2.9453974
0.4629464,0.1346638,0.44169694,1.0,0.41218433,0.6144823,2.4201663
0.37029004,0.15046862,0.1463113,1.0,0.38908082,0.42964876,3.365192
0.33961868,0.19030036,0.5076132,1.0,0.4476925,0.6912129,2.297332
0.42930055,0.17135227,0.4173152,1.0,0.3883836,0.39683175,2.7728739
0.13093832,0.08889511,0.44522357,1.0,0.38613978,0.65449375,2.931364
0.32037053,0.14389955,0.05486047,1.0,0.37392527,0.6261192,3.29126
0.2893729,0.11314455,0.40192103,1.0,0.38456148,0.39359102,3.1593761
0.15771262,0.07301332,0.19316754,1.0,0.37334794,0.40307707,4.1655607
0.11470894,0.06389553,0.44969445,1.0,0.40697834,0.5161495,3.2228398
0.38201982,0.2343625,0.40207,1.0,0.386077,0.41100362,2.7540123
0.3431662,0.0989345,0.19664623,1.0,0.36788985,0.43006498,3.4801936
0.36850807,0.13459107,0.4080473,1.0,0.3846984,0.428267,2.900044
0.41738993,0.17835988,0.4059155,1.0,0.39802268,0.45203394,2.7001894
0.40538016,0.13848747,0.40138522,1.0,0.38621417,0.6801958,2.4855058
0.42679733,0.15422653,0.41005066,1.0,0.39187166,0.36809522,2.8554437
0.44850302,0.19646356,0.4083321,1.0,0.3905304,0.4564394,2.6312072
0.31171516,0.18284146,0.41478544,1.0,0.38576132,0.4043275,2.9421616
0.48694992,0.2262527,0.4114091,1.0,0.39937842,0.68029726,2.2683067
0.43917888,0.17641184,0.4052677,1.0,0.38312465,0.49187955,2.6373217
0.28956977,0.18699789,0.40394676,1.0,0.39903578,0.4112038,2.9572606
0.2029288,0.09792678,0.41799566,1.0,0.395548,0.42955863,3.2384303
0.42116782,0.22834961,0.40567186,1.0,0.39629218,0.44776797,2.632619
0.4046439,0.124343075,0.3974607,1.0,0.3734223,0.5112294,2.760754
0.42533982,0.20619592,0.41741157,1.0,0.39566648,0.41924813,2.6826022
0.46668756,0.26607934,0.3396516,1.0,0.38804317,0.5212753,2.5230393
0.4352805,0.12726283,0.40125772,1.0,0.38428038,0.47795004,2.7381785
0.43348163,0.16804127,0.23627935,1.0,0.39154667,0.47994596,2.925183
0.4578561,0.1874874,0.26499757,1.0,0.40175253,0.3917891,2.9344747
0.4673383,0.21972218,0.2946874,1.0,0.40580654,0.54387015,2.5887628
0.41164672,0.11065481,0.40362537,1.0,0.3829254,0.5146889,2.7419176
0.42772216,0.13222042,0.4023563,1.0,0.37547034,0.43049058,2.8276386
0.1572994,0.124650106,0.3960605,1.0,0.37688217,0.40068567,3.4350617
0.50412,0.2274548,0.407023,1.0,0.39012787,0.4658177,2.5068395
0.3230738,0.13229068,0.40314624,1.0,0.38974145,0.38274223,3.0656145
0.34202015,0.12481045,0.39839125,1.0,0.3742787,0.46394667,2.9352245
0.17854321,0.15396997,0.3913039,1.0,0.4499362,0.60258096,2.8147855
0.3548312,0.15520619,0.41643655,1.0,0.3846409,0.5346475,2.7089078
0.51027465,0.2372522,0.4572734,1.0,0.41850376,0.7460469,2.1102827
0.15831096,0.085186474,0.42190692,1.0,0.39195183,0.42190394,3.3800683
0.17325124,0.107237235,0.2637044,1.0,0.38762087,0.38845387,3.787111
0.32966277,0.11515397,0.40032226,1.0,0.38642192,0.39190197,3.0798364
0.4816861,0.19853672,0.39597863,1.0,0.38229343,0.47896048,2.5807047
0.4558609,0.20970012,0.413907,1.0,0.38409388,0.40057796,2.6822023
0.15423614,0.087244295,0.41612914,1.0,0.3771919,0.4116865,3.4566479
0.48072702,0.21614291,0.43300715,1.0,0.40668908,0.6398927,2.2973096
0.40859273,0.15624784,0.41033962,1.0,0.3907549,0.42578706,2.7906113
0.45211294,0.17204659,0.3839587,1.0,0.41932786,0.7187734,2.3296778
0.18083262,0.13955896,0.40694967,1.0,0.3849601,0.42521682,3.2519941
0.25055525,0.10700318,0.39901498,1.0,0.38328937,0.40396068,3.2387123
0.4046732,0.10879547,0.3497984,1.0,0.40203848,0.49490207,2.8405738
0.33047837,0.12003733,0.4023859,1.0,0.3891262,0.40387502,3.0378466
0.24525684,0.17693426,0.40335822,1.0,0.38824943,0.43553123,3.0315342
0.466064,0.195214,0.4192575,1.0,0.385156,0.38338768,2.7040484
0.4674844,0.2220473,0.3730773,1.0,0.3779002,0.64646494,2.3958132
0.44153374,0.17794442,0.4335992,1.0,0.40321034,0.5504683,2.4915838
0.31380898,0.20227939,0.40188268,1.0,0.38318643,0.44134346,2.869439
0.20008719,0.10583823,0.41460064,1.0,0.395385,0.43704754,3.2196605
0.43499252,0.21788645,0.42315096,1.0,0.38729843,0.55094343,2.4822865
0.44683063,0.1733426,0.42273104,1.0,0.3895512,0.38874435,2.7454429
0.4370881,0.14696398,0.41296992,1.0,0.39192668,0.39985007,2.7951717
0.47242174,0.20185553,0.40522653,1.0,0.3875421,0.4859349,2.560189
0.42214814,0.13282067,0.41302815,1.0,0.37875402,0.39650673,2.8681931
0.37719238,0.1638156,0.40896872,1.0,0.39256474,0.4098465,2.8532493
0.3440885,0.14281262,0.41541743,1.0,0.39885014,0.39394292,2.9496582
0.26248255,0.10184984,0.27963305,1.0,0.38505828,0.40841556,3.478408
0.27550343,0.18918723,0.40061057,1.0,0.38748273,0.4291133,2.9728332
0.35481715,0.11802941,0.4574818,1.0,0.40568054,0.73115146,2.418777
0.5046323,0.20336819,0.39959568,1.0,0.3959504,0.46163028,2.5443003
0.2774463,0.13109404,0.41420096,1.0,0.37952578,0.39820293,3.1240823
0.25156593,0.16645975,0.4179633,1.0,0.38657224,0.43227568,3.021446
0.4329581,0.15279049,0.25893188,1.0,0.38547385,0.4829692,2.9186454
0.4673212,0.17243938,0.40130657,1.0,0.39144075,0.7819612,2.2578776
0.4062849,0.20996696,0.40881374,1.0,0.3899425,0.39666924,2.7598734
0.41009894,0.12352014,0.40900233,1.0,0.38966602,0.38531408,2.9110358
0.30629432,0.14897674,0.42249933,1.0,0.3884255,0.41595846,2.9723787
0.31950948,0.115028895,0.40473545,1.0,0.3934387,0.3942309,3.0732477
0.48196378,0.20883211,0.40878034,1.0,0.37913814,0.42742857,2.6230981
0.3832806,0.12249835,0.4041757,1.0,0.37854093,0.38116997,2.9946117
0.39713004,0.22911264,0.41221097,1.0,0.3852731,0.40552667,2.7333555
0.43794572,0.17217797,0.41785744,1.0,0.3964531,0.54255414,2.541957
0.20694655,0.112301044,0.3854922,1.0,0.37872982,0.3976278,3.375875
0.3297903,0.14549366,0.42187685,1.0,0.39854592,0.66618043,2.5485666
0.47701544,0.25455606,0.40425724,1.0,0.39946735,0.558057,2.3885126
0.41305736,0.137901,0.402331,1.0,0.39300793,0.38837302,2.8823922
0.47128338,0.1924895,0.41222793,1.0,0.39461043,0.39603072,2.678607
0.4369525,0.15913089,0.38487965,1.0,0.39171386,0.3913198,2.8344724
0.45360327,0.2202555,0.4012936,1.0,0.39056143,0.47833073,2.5719576
0.28906792,0.15453406,0.40601265,1.0,0.39845207,0.38200355,3.0673525
0.36864302,0.10224076,0.38558838,1.0,0.39964598,0.41448763,2.9929264
0.39551517,0.18226135,0.02589115,1.0,0.39339614,0.45076218,3.4534535
0.46172774,0.16948767,0.40092337,1.0,0.38819522,0.49059904,2.6165228
0.3531263,0.12242914,0.42675465,1.0,0.36971056,0.6481331,2.6039584
0.28549758,0.124253094,0.06396854,1.0,0.4051185,0.40383378,3.8981144
0.45691475,0.16961457,0.40717214,1.0,0.3819411,0.4049289,2.7463906
0.26187503,0.107962154,0.4063905,1.0,0.3641228,0.4033337,3.2390041
0.17158684,0.103298366,0.36935112,1.0,0.38835123,0.4061915,3.475169
0.38240638,0.13286763,0.41948524,1.0,0.37346873,0.38990936,2.9444025
0.19092634,0.104351506,0.3923443,1.0,0.37887263,0.43735707,3.324796
0.4488365,0.25699845,0.5179803,1.0,0.45821634,0.7276772,2.0749395
0.20785916,0.12975678,0.40676457,1.0,0.38211536,0.43897402,3.1939294
0.36322194,0.12064473,0.40083924,1.0,0.3820723,0.40934077,2.9830818
0.45175424,0.17952119,0.4057049,1.0,0.38841724,0.45652622,2.6568558
0.28229323,0.14109494,0.40137774,1.0,0.37729695,0.52054435,2.902577
0.35467318,0.21420474,0.5700172,1.0,0.43325952,0.78470176,2.12147
0.27136105,0.116542175,0.4156811,1.0,0.3931635,0.44284043,3.0495462
0.3763859,0.11532071,0.40135634,1.0,0.3870464,0.3977373,2.9800103
0.39228895,0.15406607,0.404068,1.0,0.38159415,0.59674066,2.592342
0.44665894,0.22639325,0.40946946,1.0,0.40400964,0.5039851,2.511911
0.1876687,0.096863054,0.33133927,1.0,0.39203992,0.39121708,3.5736542
0.47255445,0.2123068,0.41212875,1.0,0.39653873,0.41970173,2.613381
0.3045019,0.17069623,0.41167548,1.0,0.3998303,0.495887,2.804906
0.21444742,0.094211936,0.40759978,1.0,0.38321343,0.38246056,3.3739715
0.41971457,0.121580616,0.24907495,1.0,0.34393176,0.62369055,2.8441532
0.3583013,0.1308541,0.39846662,1.0,0.3643549,0.45095465,2.936113
0.31262398,0.17702629,0.40830424,1.0,0.39785996,0.37912074,2.9851904
0.39238524,0.15747032,0.40947556,1.0,0.39398625,0.43243858,2.7999346
