epoch,train_total,train_recon,train_kl,train_phys,train_passiv,val_total,val_smape_obs,val_smape_all,sigma_ld,sigma_obs_mean
1,8.114354311261858,0.7830925693511963,0.3961806182861328,0.4623385102067675,0.011170685392946585,4.4192693977355955,10.562548593848138,16.063147699594087,1.0,0.38583993101119995
2,4.356160810743059,0.4437697013786861,0.37860145708492826,0.23558513511930193,0.010256012385977165,3.731564347585042,9.31512088571166,14.927659697394407,1.0,0.37577188324928285
3,3.865646381378174,0.28818952832903183,0.3940606006554195,0.2122258962733405,0.0028021835514477323,3.355019672393799,8.095479665669634,13.90044569413422,1.0,0.36271668084462483
4,3.580970224380493,0.22833543765544892,0.4026647685595921,0.1966641263621194,0.0016452157972380518,3.021699234644572,7.452788436149919,13.152991180936265,1.0,0.3584529639085134
5,3.3563315710340227,0.19559742486476897,0.4041322650228228,0.18377283877985817,0.0012058862429444811,2.8849993693033853,6.6986237224293905,12.663252223591893,1.0,0.35776593144734703
6,3.3190710250309534,0.17940923966680256,0.40335459644453864,0.18241967032636916,0.0010949258707530264,3.0672574323018393,7.405387191132602,13.10243235033218,1.0,0.361783500512441
7,3.2676190024784635,0.17103608478818622,0.40343654666628154,0.1795421586036682,0.0009269303795216339,2.7727734934488932,6.359023754916758,12.162864813540175,1.0,0.355881636540095
8,3.1537873540605816,0.15831754773003714,0.40267606319699967,0.17285187487942832,0.000792395523882338,2.6989811712900798,7.02905760325213,12.641026096835027,1.0,0.3596686214605967
9,3.1466766572679794,0.16233629419122422,0.40206421174321855,0.172150428380285,0.0007911005114936935,2.667428082148234,6.137774960449793,12.06255510112652,1.0,0.35638134702046714
10,3.1564487991333006,0.15154591495650155,0.40150713522093634,0.1735582604067666,0.0007094866276851722,2.8351744486490884,6.54098175773129,12.26240100661817,1.0,0.35735942045847574
11,3.0478103395189557,0.1489386440856116,0.4001294107096536,0.16658108605657304,0.000698865798701133,2.793264633814494,6.028628705772555,11.883447010174965,1.0,0.35383742284774783
12,3.0674806207929337,0.15171631603581565,0.400823507138661,0.16766130493368422,0.00047983966980661666,2.454688163757324,6.0412342892765505,12.011788630840464,1.0,0.35645858891805016
13,2.955265104293823,0.14357004648447036,0.39842284311567033,0.16088312533923557,0.0004872609745112381,2.5888790086110434,6.873353072324282,12.430081982051508,1.0,0.35603870733579
14,2.9709255245753696,0.1424566103560584,0.3991286838735853,0.1619539089713778,0.0005245464184387987,2.5350001023610433,6.897200695997369,12.507586657566844,1.0,0.35580711587270103
15,3.0348911759512767,0.14462845761435372,0.3977539202826364,0.1661652306658881,0.00043904644802179453,2.5985574913024903,6.193022320723535,11.939618995345949,1.0,0.3565502553780874
16,2.8712868932996476,0.14174245616367884,0.39781420530591693,0.15544641382353647,0.0004330305105208286,2.6100977834065757,5.8613991731329,11.544118620767287,1.0,0.3548375944296519
17,2.951552013669695,0.13865950885840825,0.39631702102933614,0.16110268194334848,0.0003978085305342185,2.5243137696584066,5.537079174122513,11.269338835766588,1.0,0.3549542413552602
18,2.8518211323874336,0.13755129780939648,0.3969575408526829,0.15448492693901061,0.0003864240301274029,2.472513340632121,5.706270597414387,11.514763531782219,1.0,0.3546498223940531
19,2.892565928322928,0.13694883232457297,0.3961219425542014,0.1572968603883471,0.0003821148343184697,2.537936923980713,5.698124843877331,11.559613716599001,1.0,0.3547400763829549
20,2.8995617743900843,0.1396427024432591,0.39425962935175213,0.1577080386706761,0.00031767122710256706,2.45428391011556,5.724665023946229,11.520154986318234,1.0,0.35595487491289773
21,2.89307577923366,0.13613719599587576,0.3950562542166029,0.1574556896345956,0.0003486068680815931,2.55669050916036,6.225891105945815,11.942001544785596,1.0,0.35705923914909365
22,2.8233754708426337,0.1346060618162155,0.39414696703638347,0.1529717720406396,0.00031045949410015187,2.3178841342926026,5.522931472045317,11.273724730645476,1.0,0.3546881084442139
23,2.764948228291103,0.13264418980053494,0.3922339979239873,0.14933523215566363,0.000257594404081049,2.440160471598307,5.680087304453489,11.258025199091644,1.0,0.3546902877489726
24,2.819511205673218,0.1378571446282523,0.3915612475531442,0.15266993999481202,0.0002488814297747532,2.4520687789916993,5.984802703088967,11.669577563022749,1.0,0.35430964771906537
25,2.726062556403024,0.1292445777143751,0.392004830462592,0.14698430216312408,0.00025554825391113157,2.285938320159912,5.0448660408182,10.82317578331502,1.0,0.35532937932014463
26,2.745087030138288,0.13194503053597043,0.39409511051859175,0.14793384485585348,0.00019064113750521624,2.5207324606577557,5.713051748328378,11.326977800882172,1.0,0.3531319049994151
27,2.7835862462180003,0.13295352974959782,0.3928525275162288,0.1505159260375159,0.0001863440151942736,2.363135610580444,5.237034645519378,10.92555730642239,1.0,0.3556454300880432
28,2.7222471948351177,0.12881630621637616,0.3903455606869289,0.1468693697963442,0.0001882802254487095,2.4338534208933513,5.466006672033443,11.087931591274149,1.0,0.3566478742758433
29,2.7306793256487167,0.13209844493865966,0.39259376648494176,0.14706221968787056,0.0002110955468004769,2.288619374593099,5.789731514349877,11.262418078858634,1.0,0.3570230223337809
30,2.7407143121446884,0.13445032909086774,0.3928017586299351,0.1475612108537129,0.0001616505318088457,2.3322427145640057,5.315528741877911,10.847230001005412,1.0,0.3517286597887675
