sv_index,enc_L0,enc_L3,enc_L6,enc_L9,enc_fc_mu,enc_fc_logvar,dec_L0,dec_L2,dec_L4,dec_L6,dec_L8
64,,0.36132383,0.33030948,0.12200914,,,,2.253175e-05,5.192979e-06,3.9195533e-05,
65,,0.357011,0.32534814,0.11176046,,,,1.8812541e-05,4.748784e-06,3.7868962e-05,
66,,0.35235423,0.31932262,0.10316418,,,,1.651916e-05,3.8426433e-06,3.590602e-05,
67,,0.34342885,0.29033807,0.09544974,,,,1.3816289e-05,3.2934674e-06,2.9011131e-05,
68,,0.3333258,0.28549793,0.086267576,,,,1.164422e-05,2.0935402e-06,2.6061336e-05,
69,,0.32506067,0.27506202,0.08220908,,,,1.1043894e-05,1.6021467e-06,2.4952567e-05,
70,,0.31274912,0.27057052,0.07681196,,,,6.628314e-06,1.2494654e-06,1.9752455e-05,
71,,0.30684662,0.26626068,0.07458201,,,,5.3883045e-06,1.0636e-06,1.4732784e-05,
72,,0.30161425,0.2494506,0.06602601,,,,4.64206e-06,9.899218e-07,1.4414299e-05,
73,,0.2939064,0.24176134,0.06443819,,,,4.1155213e-06,8.7276794e-07,1.3556624e-05,
74,,0.28758243,0.23878682,0.058431484,,,,3.1591956e-06,6.311974e-07,1.175512e-05,
75,,0.277825,0.23520309,0.053934436,,,,3.0702447e-06,5.27726e-07,1.0043643e-05,
76,,0.2630018,0.2279245,0.04623915,,,,2.4452954e-06,3.816638e-07,8.239598e-06,
77,,0.25052363,0.22359756,0.04158245,,,,2.0279303e-06,2.849417e-07,7.951851e-06,
78,,0.24667089,0.20135838,0.040375005,,,,1.4945938e-06,2.3468122e-07,7.795078e-06,
79,,0.24570858,0.19983444,0.037234925,,,,1.1371112e-06,1.9758008e-07,6.3503194e-06,
80,,0.23156309,0.194675,0.03579242,,,,9.367631e-07,1.563484e-07,5.5921946e-06,
81,,0.22976096,0.19308467,0.03284415,,,,8.679464e-07,1.2981687e-07,4.9518117e-06,
82,,0.22088094,0.18559685,0.031121604,,,,6.544723e-07,1.1463423e-07,4.485871e-06,
83,,0.2138962,0.17178008,0.027746705,,,,6.0113035e-07,8.1888935e-08,4.022212e-06,
84,,0.21224159,0.16441375,0.023800936,,,,4.539955e-07,7.323787e-08,3.0155813e-06,
85,,0.20384243,0.15734129,0.021663627,,,,3.120097e-07,6.538387e-08,2.6291852e-06,
86,,0.201421,0.15262623,0.019693417,,,,2.5818142e-07,6.1186014e-08,2.4091041e-06,
87,,0.18360795,0.14346598,0.018088523,,,,2.3713511e-07,4.1142037e-08,1.919e-06,
88,,0.1819471,0.13684164,0.017263675,,,,1.8283986e-07,3.0975297e-08,1.6036314e-06,
89,,0.17913134,0.131555,0.013680829,,,,1.6630624e-07,2.1158758e-08,1.524171e-06,
90,,0.16916156,0.12480787,0.012857897,,,,1.2612863e-07,1.645124e-08,1.4725458e-06,
91,,0.15784492,0.11476527,0.010234245,,,,1.0473534e-07,1.0471058e-08,1.1484601e-06,
92,,0.15304124,0.11080023,0.009855187,,,,8.947512e-08,8.895307e-09,8.965094e-07,
93,,0.15034603,0.10462778,0.009214682,,,,7.7153125e-08,8.400951e-09,8.193455e-07,
94,,0.14120613,0.10357196,0.008012934,,,,4.5543903e-08,7.691054e-09,6.8621966e-07,
95,,0.14069231,0.09392618,0.0073332265,,,,4.0510727e-08,5.819837e-09,6.025551e-07,
96,,0.14054611,0.08640454,0.0061016786,,,,2.9248168e-08,4.597798e-09,4.221949e-07,
97,,0.12780634,0.08069012,0.0053774137,,,,2.4451687e-08,3.601334e-09,2.6658824e-07,
98,,0.11898874,0.07759183,0.0044367434,,,,2.1745073e-08,3.271464e-09,2.3629572e-07,
99,,0.11375163,0.07013088,0.00413637,,,,1.4928448e-08,3.0764167e-09,1.9866748e-07,
100,,0.11049283,0.06739508,0.0035615999,,,,1.03735385e-08,2.7147329e-09,7.0170756e-08,
101,,0.10558554,0.0593768,0.0033794919,,,,1.0136903e-08,2.3872613e-09,4.7551154e-08,
102,,0.10069869,0.056455947,0.0029715917,,,,6.8660455e-09,2.0450468e-09,2.456794e-08,
103,,0.095034525,0.050522946,0.0025010651,,,,5.595871e-09,1.5207825e-09,1.4178529e-08,
104,,0.089200355,0.047056343,0.0023697123,,,,5.386803e-09,1.3220759e-09,5.376135e-09,
