qty,enc_act_11,enc_act_2,enc_act_5,enc_act_8,enc_mu
tau_d (Ω·fF),0.995543103261335,0.98859121132523,0.9899859040890479,0.9901531391348721,0.9666463490843566
"f_d_corner (GHz, log)",0.9955430056240836,0.9885911155607948,0.989985846709797,0.990152733290242,0.9666463117946127
tau_b (Ω·fF),0.9973511978475945,0.9814389435539056,0.9817168584267887,0.9849883801469034,0.9973314988311679
"f_b_corner (GHz, log)",0.9973511838063928,0.9814390485218563,0.9817169105649632,0.9849883085489963,0.9973314989726206
log(Rd/Ra),0.9149825373118508,0.8956906999926924,0.9299458816436724,0.9181045761499018,0.8847612724826184
log(Rb/Rd),0.9961585367896999,0.98374347931997,0.9824232053176327,0.9827501302523274,0.995822587392837
"f_junction (GHz, log)",0.5693160592153925,0.5662295510884516,0.5822430524995852,0.5777701729785057,0.5336537659527032
