qty,enc_act_11,enc_act_2,enc_act_5,enc_act_8,enc_mu
tau_d (Ω·fF),0.7580696688227488,0.9299078780134491,0.8508468015851078,0.7734212383678333,0.9871871178661599
"f_d_corner (GHz, log)",0.9391097443634757,0.9752924663251775,0.9617130980913543,0.9266143364171074,0.9900729431518567
tau_b (Ω·fF),0.6594854283767752,0.8995172612945851,0.7547485374843192,0.5899859977980821,0.9832478936109645
"f_b_corner (GHz, log)",0.9423653186690447,0.9737990733526983,0.9574555716094264,0.9354572055903208,0.9908873433993046
log(Rd/Ra),0.7902824911388515,0.8889312283597608,0.8248380124769965,0.80905867708918,0.9006172321597898
log(Rb/Rd),0.9534566403747889,0.976412426108283,0.9631767771066988,0.9601717506836165,0.9936016441903152
"f_junction (GHz, log)",0.2263893396169515,0.3617803468392482,0.21153327050876503,0.17576192951588288,0.5061126008360166
