layer,shape,effective_rank,sigma_max,sigma_min
enc_L0,"(128, 10)",9.78245735168457,2.119003,1.0530931
enc_L3,"(256, 128)",98.87871551513672,3.084855,0.09468043
enc_L6,"(128, 256)",83.92035675048828,2.5375316,0.00092448574
enc_L9,"(5, 128)",4.974760055541992,2.2827442,1.726699
dec_L0,"(128, 5)",4.739819049835205,3.3934584,1.1982129
dec_L2,"(256, 128)",31.073543548583984,4.3393226,3.4211256e-16
dec_L4,"(128, 256)",32.94160461425781,3.461553,5.5828444e-17
dec_L6,"(10, 128)",9.29912281036377,3.4451141,0.85346484
