sv_index,enc_L0,enc_L3,enc_L6,enc_L9,dec_L0,dec_L2,dec_L4,dec_L6
100,,0.28826377,0.13121955,,,0.012373819,3.682569e-06,
101,,0.28167227,0.12229116,,,0.011962628,3.148936e-06,
102,,0.27208456,0.121556595,,,0.010927239,1.142292e-06,
103,,0.26845044,0.11014898,,,0.01039724,6.10158e-07,
104,,0.25956535,0.100123495,,,0.009299711,4.3194672e-07,
105,,0.25563315,0.094484836,,,0.0085671,4.7572996e-08,
106,,0.24536242,0.07834556,,,0.008335059,2.8499398e-08,
107,,0.2401684,0.07113055,,,0.007767505,1.9517342e-08,
108,,0.23422344,0.055173505,,,0.0065627047,4.827344e-11,
109,,0.22990918,0.04653976,,,0.005812926,1.2504187e-11,
110,,0.22254883,0.03898995,,,0.005604692,1.8419886e-12,
111,,0.21378264,0.03191831,,,0.0048312405,5.886879e-14,
112,,0.20682356,0.026721481,,,0.0042888923,2.7078633e-15,
113,,0.20361312,0.020965079,,,0.0035014395,1.1828124e-15,
114,,0.19693023,0.018052123,,,3.336671e-07,9.535887e-16,
115,,0.19412574,0.014363779,,,1.7139905e-08,2.0706865e-16,
116,,0.18355569,0.013465133,,,3.4211256e-16,2.0706865e-16,
117,,0.17721039,0.010723617,,,3.4211256e-16,2.0706865e-16,
118,,0.1718736,0.008855639,,,3.4211256e-16,2.0706865e-16,
119,,0.16815148,0.007715121,,,3.4211256e-16,2.0706865e-16,
120,,0.15772276,0.007344878,,,3.4211256e-16,2.0706865e-16,
121,,0.15080541,0.00565165,,,3.4211256e-16,2.0706865e-16,
122,,0.13896294,0.00484678,,,3.4211256e-16,2.0706865e-16,
123,,0.12993713,0.0045830207,,,3.4211256e-16,2.0706865e-16,
124,,0.1288665,0.0033012663,,,3.4211256e-16,2.0706865e-16,
125,,0.11128647,0.0024932597,,,3.4211256e-16,2.0706865e-16,
126,,0.09829646,0.0014769268,,,3.4211256e-16,2.0706865e-16,
127,,0.09468043,0.00092448574,,,3.4211256e-16,5.5828444e-17,
