residual_pc,evr_pct,cum_evr_pct
1,90.04725,90.04725
2,6.881277,96.92853
3,1.9275663,98.856094
4,0.8881756,99.74427
5,0.15891288,99.90318
6,0.07967219,99.98286
7,0.008778263,99.99164
8,0.007833464,99.999466
9,0.00029494186,99.99976
10,0.00023561511,100.0
