param,low_band_pct,mid_band_pct,high_band_pct,peak_freq_GHz
Rbv,34.776995116732344,24.1127921809032,41.11021270236444,43.5
Cbv,36.53558457221067,22.72795212465916,40.73646330313016,43.5
Rdv,37.14394010319662,23.273059218632252,39.5830006781711,43.5
Ldv,38.694069687065586,19.4724104765232,41.83351983641119,43.5
Cdv,35.11809919251051,19.396240717030853,45.48566009045864,43.5
Rav,36.36362401248772,20.105352986842284,43.53102300066998,43.5
