freq_GHz,Rbv,Cbv,Rdv,Ldv,Cdv,Rav
0.04,-0.034470104718900524,0.03250599072288785,0.06420169157796571,-0.03067753629750403,0.08038149470905495,0.06612304868033873
0.5406912442396314,-0.023679625078144965,0.021721690415934677,0.06152793462105138,-0.02559935395832814,0.07276614209321201,0.06439263227300276
1.0413824884792628,-0.016140915126768345,0.012647750294194475,0.05526776436308492,-0.021853733539303723,0.06262051718005746,0.05969677641075293
1.542073732718894,-0.007470157274461919,0.00790863332318148,0.04815292046143561,-0.019973114663679403,0.055241419026824334,0.055039899004433214
2.0427649769585257,0.0011033363449377423,0.004938416993706157,0.04119508502625334,-0.01904985745210081,0.0487294714198001,0.05064519318842648
2.5434562211981566,0.008671786741309636,0.0024115829346203254,0.03414411979379109,-0.01831931714659079,0.04307122567458062,0.04667432740825859
3.044147465437788,0.015297124145824584,0.00011542201283749275,0.02818725046838197,-0.01806888489855042,0.038970600556619016,0.04509827923815305
3.5448387096774194,0.020246524474085665,-0.001986259776471782,0.023340342373742523,-0.01812638268272323,0.03556858395601695,0.04425073292166484
4.045529953917051,0.024554717842141395,-0.004458812718141281,0.019454860386035028,-0.01790096221320702,0.03275475919861266,0.04325696036669081
4.546221198156682,0.027961852884650314,-0.006932156325795146,0.0162493506943723,-0.018034341114926786,0.029876241986249108,0.041807289534143276
5.046912442396313,0.030422005602445065,-0.009474557941617548,0.013615226401691822,-0.018198298466477605,0.027448700383188928,0.04000929555658839
5.547603686635945,0.032698355192339275,-0.011777452865470033,0.011387475266540303,-0.018506680058354083,0.025495471946774154,0.03822855180742003
6.048294930875576,0.0345088207232023,-0.01413904645989405,0.009418503268722584,-0.018861310984590107,0.023420148380016482,0.03626511914056879
6.548986175115208,0.03599931866659096,-0.016290603587844843,0.007468442163160239,-0.01903976522664058,0.021724797080533004,0.034631791403532376
7.049677419354839,0.03720238813359868,-0.018269716696635185,0.005843489982609996,-0.01926908836323204,0.020317100924122325,0.032830608092289784
7.550368663594471,0.0381720046857783,-0.020409772045530225,0.004412724490302721,-0.01941392349043594,0.01916625768513974,0.03146012794001421
8.051059907834102,0.039081742128878404,-0.022562808067548186,0.003116403458070696,-0.019658434855305745,0.018070223122929285,0.0301249293539088
8.551751152073733,0.03986266487362943,-0.024480060942228994,0.0020066971118552347,-0.020009655556628394,0.017245361027262332,0.02903194367021596
9.052442396313364,0.04039319293257699,-0.026410194934466096,0.0011059614562179394,-0.020584940953882327,0.01619479646608849,0.02800386088931787
9.553133640552995,0.04094796099421788,-0.02795209555023283,0.00036189559576617727,-0.021189143687682627,0.015416138601793175,0.026842770982530108
10.053824884792625,0.04153273750363749,-0.02960514506723834,-0.00042546360282928915,-0.021998953999883775,0.014598565177618351,0.025730747303416363
10.554516129032258,0.041717937528850606,-0.03130687414868678,-0.0009901809990190199,-0.022755315419785635,0.013937096439003725,0.024784009423199267
11.05520737327189,0.041869999763333304,-0.0329657938850882,-0.0017803344200371576,-0.023493159499239937,0.013288725920969547,0.02374531952725772
11.55589861751152,0.042056633344298884,-0.03433720359683787,-0.0023720347082674155,-0.02429160292398828,0.012808206980112797,0.022886728101068312
12.056589861751151,0.04210920201213355,-0.035862018651335405,-0.002776377641819737,-0.024953556550395165,0.012317640035293334,0.022072698896966537
12.557281105990782,0.04231451359050151,-0.03715380146153349,-0.0031830981314553476,-0.0257417317490813,0.012120530680058963,0.021207049911894434
13.057972350230415,0.04225946202882911,-0.03868168296463144,-0.0037446364160707126,-0.026481640275737805,0.011762785306976144,0.020349161372129037
13.558663594470046,0.042191037132337454,-0.040028062225340236,-0.004101882677986964,-0.027142279904697763,0.011575355063928339,0.01964154529350503
14.059354838709677,0.04210840067871118,-0.04146297038477448,-0.004279725808858423,-0.02770940174548908,0.011416541712949079,0.018889317654368624
14.560046082949308,0.04210843445649271,-0.0429817243313027,-0.004456480495164499,-0.02835542492838054,0.011141597682399742,0.01809164067684896
15.06073732718894,0.041809577978841994,-0.04456319606257733,-0.004722179191353242,-0.029007557445284157,0.010934120770457861,0.017099213899912653
15.561428571428571,0.04121393213488134,-0.045986680665186734,-0.00490766098974011,-0.029626102402900263,0.010492578499175387,0.01606450045161116
16.062119815668204,0.04081984764664973,-0.04703762655973628,-0.0053471437052381885,-0.030413792268199135,0.009966392218488024,0.014990168776685417
16.562811059907833,0.04046176182908465,-0.04808462667606962,-0.005576844619649401,-0.03152803683644854,0.009498065944229547,0.014156115350679479
17.063502304147466,0.03998027466447496,-0.0495998912888768,-0.006154490017165557,-0.03243309693701077,0.008647681405297933,0.013208856134317347
17.564193548387095,0.039531735063474086,-0.05090540921736829,-0.006477839164924112,-0.03346812083350988,0.007672772408938352,0.012290529366979988
18.064884792626728,0.03928293458699273,-0.052040112004456886,-0.006875536763948529,-0.03453892250432472,0.0066360954040106,0.011429256825472979
18.56557603686636,0.03906663278518141,-0.05248363560929284,-0.007083639898182209,-0.03526701502966833,0.005835959315106591,0.010854006094889566
19.06626728110599,0.0390617807846423,-0.052121711569079056,-0.006957741661971295,-0.03609638534404281,0.00535749792861088,0.010459352273261363
19.566958525345623,0.039099346566594056,-0.05107664745296082,-0.006953469217052135,-0.03629211558801284,0.0049968267774251965,0.010233237137026348
20.067649769585252,0.039104264793707676,-0.0495795652921272,-0.007204147245705709,-0.036299599592877686,0.004647492072459951,0.009814110869324997
20.568341013824885,0.03924155369350596,-0.047971491552387946,-0.00733800170422241,-0.036483555164839455,0.004280233364470373,0.009567804174200462
21.069032258064517,0.03929855147761683,-0.04636013581779286,-0.007596841288537919,-0.03649221827691314,0.004238897359877484,0.009428426380936264
21.569723502304146,0.03928761547640172,-0.044871940096882224,-0.007968731107636788,-0.03613589068176563,0.004049598672177629,0.009260498362277594
22.07041474654378,0.03912921435203817,-0.04316496568979229,-0.008108681346310003,-0.03598644489138126,0.004049816450429585,0.00923825880527745
22.57110599078341,0.039100833682214946,-0.041430196385736286,-0.008380749821014508,-0.03568756419147241,0.004230802692781499,0.009150141906588005
23.07179723502304,0.03901329122803383,-0.039718973084299114,-0.008522519170115744,-0.03567144241190153,0.004582721620811594,0.009320978147811012
23.572488479262674,0.039098315455368376,-0.03800560422284491,-0.0085374227263803,-0.03566894618543846,0.00511353434594826,0.009508968612107623
24.073179723502303,0.03896779810753311,-0.0365210929467881,-0.008541650282405586,-0.03555624083958231,0.005321825035758337,0.009736964192996021
24.573870967741936,0.03879198697688744,-0.03508675678741742,-0.008715150301683365,-0.03539931859992428,0.005458422384269152,0.009697107744123083
25.074562211981565,0.03872461541384615,-0.0339521522169058,-0.008949181438797936,-0.03501230522358947,0.00561942995771444,0.009796609088512119
25.575253456221198,0.03877821230869025,-0.03303670278185586,-0.009272297030255224,-0.03472450741383415,0.005719825524425058,0.009895273099474789
26.07594470046083,0.03862131184681242,-0.032186409798489975,-0.009518005946445104,-0.03446816071868452,0.0057702570855841205,0.010090403787822642
26.57663594470046,0.03855207317245257,-0.0317212799690311,-0.009711262856806983,-0.03409638823293202,0.005721983302442588,0.010293988254887582
27.077327188940092,0.03842931493659055,-0.031535915503990604,-0.00990284154476017,-0.033750957527884165,0.005593152621461401,0.010371131374570151
27.578018433179725,0.03833593892621543,-0.031242974582552725,-0.010154588239398693,-0.03331764325751591,0.005609570401063377,0.010430452714494744
28.078709677419354,0.03817036068559563,-0.031114596346066257,-0.01024254780472753,-0.03287635787515087,0.005461593051288116,0.010207748245305358
28.579400921658987,0.037972494885832764,-0.031187547465283044,-0.010419384713264966,-0.03251353916817101,0.005329733036637004,0.01009172867685874
29.080092165898616,0.038085990898443424,-0.031265190140576674,-0.010511861612429067,-0.032300716033412884,0.005266964585218287,0.009961491773499085
29.58078341013825,0.03809539667726629,-0.03145723060635895,-0.010636097626233068,-0.032283790698198964,0.005169981018886779,0.009843025093669454
30.08147465437788,0.03812739446707214,-0.03185365754637387,-0.010644249851726484,-0.032177070026824905,0.005066339897385842,0.009845732651713792
30.58216589861751,0.03797514821946091,-0.032473846274871807,-0.010447978494219832,-0.0319802071089119,0.004887264543029394,0.009687465076385009
31.082857142857144,0.03790128110014234,-0.03285222276135808,-0.010329491814387979,-0.03199868844429871,0.004574360952706772,0.009496783721864856
31.583548387096773,0.037924366436040705,-0.03349902727766969,-0.01020828024536447,-0.03201981911331323,0.004384478264942028,0.009393799265977696
32.08423963133641,0.03775789352865483,-0.03411895534655059,-0.010313199368133262,-0.032142813793645975,0.004234924026102669,0.009123380124820012
32.584930875576035,0.037770525530058385,-0.034675738075082,-0.010395071377230152,-0.03202686355854039,0.0040077520008613325,0.009034338337148702
33.08562211981567,0.03764378352015859,-0.035288038369258486,-0.01057332673154445,-0.031866903099863335,0.0036129895129558332,0.008710136746538541
33.5863133640553,0.03768368152040905,-0.03608653112072567,-0.010617277624141956,-0.031822189758021084,0.003318991924332436,0.008522664058073783
