param,sweep_val,cf_S11_re,cf_S11_im
Rbv,-2.0,0.93262779712677,-0.16417208313941956
Rbv,-1.9595959595959596,0.9339032173156738,-0.1643710732460022
Rbv,-1.9191919191919191,0.9351524114608765,-0.16456666588783264
Rbv,-1.878787878787879,0.9363747835159302,-0.16475872695446014
Rbv,-1.8383838383838385,0.9375699758529663,-0.16494716703891754
Rbv,-1.797979797979798,0.9387374520301819,-0.16513189673423767
Rbv,-1.7575757575757576,0.9398770332336426,-0.16531282663345337
Rbv,-1.7171717171717171,0.9409884214401245,-0.16548985242843628
Rbv,-1.6767676767676767,0.9420714974403381,-0.165662944316864
Rbv,-1.6363636363636362,0.9431261420249939,-0.1658320277929306
Rbv,-1.595959595959596,0.9441524147987366,-0.16599707305431366
Rbv,-1.5555555555555556,0.9451503157615662,-0.1661580353975296
Rbv,-1.5151515151515151,0.9461200833320618,-0.16631488502025604
Rbv,-1.4747474747474747,0.9470619559288025,-0.16646762192249298
Rbv,-1.4343434343434343,0.9479761123657227,-0.16661620140075684
Rbv,-1.393939393939394,0.9488629698753357,-0.16676065325737
Rbv,-1.3535353535353534,0.9497228860855103,-0.16690099239349365
Rbv,-1.3131313131313131,0.9505563974380493,-0.16703718900680542
Rbv,-1.2727272727272727,0.9513638615608215,-0.16716930270195007
Rbv,-1.2323232323232323,0.9521458148956299,-0.1672973483800888
Rbv,-1.1919191919191918,0.9529029130935669,-0.1674213409423828
Rbv,-1.1515151515151514,0.953635573387146,-0.16754135489463806
Rbv,-1.1111111111111112,0.9543444514274597,-0.16765740513801575
Rbv,-1.0707070707070705,0.9550301432609558,-0.16776955127716064
Rbv,-1.0303030303030303,0.955693244934082,-0.16787785291671753
Rbv,-0.9898989898989898,0.9563342928886414,-0.16798235476016998
Rbv,-0.9494949494949494,0.9569538235664368,-0.16808313131332397
Rbv,-0.909090909090909,0.9575524926185608,-0.16818027198314667
Rbv,-0.8686868686868685,0.9581308364868164,-0.16827380657196045
Rbv,-0.8282828282828283,0.9586893320083618,-0.16836385428905487
Rbv,-0.7878787878787878,0.9592285752296448,-0.1684504896402359
Rbv,-0.7474747474747474,0.9597490429878235,-0.16853377223014832
Rbv,-0.707070707070707,0.9602512121200562,-0.16861380636692047
Rbv,-0.6666666666666665,0.960735559463501,-0.16869069635868073
Rbv,-0.6262626262626261,0.9612026214599609,-0.16876451671123505
Rbv,-0.5858585858585856,0.9616527557373047,-0.1688353717327118
