param,abs_pearson_r_with_PC1
Rbv,0.02464495831905821
Cbv,0.020446414606740182
Rdv,0.03767328821131711
Ldv,0.015171878118652343
Cdv,0.005751454342009194
Rav,0.024220782262046967
