param,sweep_val,cf_S11_re,cf_S11_im
Rbv,-2.0,0.5932372808456421,-0.11445576697587967
Rbv,-1.9595959595959596,0.5981441736221313,-0.11513645201921463
Rbv,-1.9191919191919191,0.6030539274215698,-0.11581562459468842
Rbv,-1.878787878787879,0.6079728603363037,-0.11650022864341736
Rbv,-1.8383838383838385,0.6129268407821655,-0.11719878762960434
Rbv,-1.797979797979798,0.6178877353668213,-0.1178957000374794
Rbv,-1.7575757575757576,0.622848629951477,-0.11859261989593506
Rbv,-1.7171717171717171,0.6278096437454224,-0.11928954720497131
Rbv,-1.6767676767676767,0.6327720880508423,-0.119988352060318
Rbv,-1.6363636363636362,0.6377353072166443,-0.12068834900856018
Rbv,-1.595959595959596,0.6426986455917358,-0.12138834595680237
Rbv,-1.5555555555555556,0.6476619243621826,-0.12208834290504456
Rbv,-1.5151515151515151,0.6526568531990051,-0.12277936935424805
Rbv,-1.4747474747474747,0.657659113407135,-0.12347210198640823
Rbv,-1.4343434343434343,0.6626626253128052,-0.12417910993099213
Rbv,-1.393939393939394,0.6676653623580933,-0.12488619983196259
Rbv,-1.3535353535353534,0.6726634502410889,-0.12560613453388214
Rbv,-1.3131313131313131,0.6777538657188416,-0.12633122503757477
Rbv,-1.2727272727272727,0.6828511953353882,-0.1270562708377838
Rbv,-1.2323232323232323,0.6879569292068481,-0.12778306007385254
Rbv,-1.1919191919191918,0.6931195855140686,-0.12852072715759277
Rbv,-1.1515151515151514,0.6984150409698486,-0.1291884481906891
Rbv,-1.1111111111111112,0.703796923160553,-0.12987308204174042
Rbv,-1.0707070707070705,0.7092469930648804,-0.13058501482009888
Rbv,-1.0303030303030303,0.7147135734558105,-0.1312974989414215
Rbv,-0.9898989898989898,0.7201801538467407,-0.13200999796390533
Rbv,-0.9494949494949494,0.7256467938423157,-0.13272249698638916
Rbv,-0.909090909090909,0.7312572598457336,-0.13347747921943665
Rbv,-0.8686868686868685,0.7369099855422974,-0.13423532247543335
Rbv,-0.8282828282828283,0.7426223158836365,-0.13494622707366943
Rbv,-0.7878787878787878,0.7483735680580139,-0.1356569230556488
Rbv,-0.7474747474747474,0.7542060613632202,-0.13644050061702728
Rbv,-0.707070707070707,0.760096549987793,-0.13724082708358765
Rbv,-0.6666666666666665,0.7660933136940002,-0.1380786895751953
Rbv,-0.6262626262626261,0.7725927829742432,-0.13899953663349152
Rbv,-0.5858585858585856,0.7791495323181152,-0.139931321144104
Rbv,-0.5454545454545454,0.7858985662460327,-0.1408851146697998
Rbv,-0.505050505050505,0.7928658127784729,-0.14187248051166534
Rbv,-0.46464646464646453,0.7998653054237366,-0.142863467335701
Rbv,-0.4242424242424241,0.8069158792495728,-0.14386135339736938
Rbv,-0.38383838383838365,0.814079999923706,-0.14490017294883728
Rbv,-0.3434343434343432,0.8212408423423767,-0.1459473967552185
Rbv,-0.303030303030303,0.8286556005477905,-0.147041916847229
Rbv,-0.26262626262626254,0.8361425399780273,-0.14807584881782532
