sigma_rel,Rbv_mean_mape,Rbv_std_mape,Cbv_mean_mape,Cbv_std_mape,Rdv_mean_mape,Rdv_std_mape,Cdv_mean_mape,Cdv_std_mape,Rav_mean_mape,Rav_std_mape
0.0,3.607697843037431,0.0,0.8319829998097446,1.1102230246251565e-16,4.028584148226539,0.0,2.3080922138288145,0.0,13.344072089524985,0.0
0.001,28.70620643065114,0.3108895339468606,12.695479290699248,0.32161111009053794,39.2161951616391,0.722694417749963,17.945147370494237,0.37890159632428283,81.70570897395017,0.8055154593247197
0.005,56.34855470779068,0.6462350182143806,25.849186077560166,0.3248312233128241,49.921117256452234,0.597867406772113,26.72131062809541,0.32336949463162445,91.00073374968012,1.1632874364638888
0.01,70.04218159700017,1.493064388068294,28.79966372349382,0.18606398631991453,53.10031016804459,0.21563474220683915,29.642527600846897,0.3453027584205197,82.68023576191406,1.2168340264203155
0.02,86.36324398870164,1.15659972694892,31.70937399362797,0.29341798008747666,57.17137374743604,0.7871080579830166,33.442300332075504,0.2460757934816133,78.00544822820305,0.7979254690193501
0.05,98.26325032690745,1.9953633817458754,36.199734659088094,0.342829299343663,59.73243399787843,0.18655026720418788,39.955204545289874,0.5076508841751852,73.709088387159,1.5340320411957344
0.1,108.73090757712762,2.47657319675497,39.36250486097329,0.4994492931088403,59.32355345444945,0.7523907171223837,55.01465773409607,0.6873068671271612,71.30919279788746,0.7633681687597409
0.15,115.20859470686734,1.5120243440423944,40.56870606659394,0.4100412818672223,61.77296081447596,0.9007047966903015,64.59559725578545,1.252107859981185,69.07074900473215,0.9176838119893105
0.2,118.15764594105296,3.101966929540114,42.112032845255364,0.5336743661971728,65.70017143225907,0.7642553463143491,69.37183281135268,1.5951542770768192,68.28631391288084,0.42148963944084855
0.3,123.30946710142541,0.764352517204773,43.62633536773778,0.4457767918109939,71.81749719635805,1.4738136956267875,75.96808891964415,1.0284298548922894,66.45736900439238,0.8379030912229346
