param,bin_center,mean_recon_mse,mean_mape_pct,mean_passiv_viol
Rbv,2222.5519847075957,1.619426e-05,3.3328193256416494,0.0
Rbv,4630.805803670952,1.0209524e-05,2.6752124727195272,0.0
Rbv,6937.1347327213225,1.0913228e-05,2.5037829950666795,0.0
Rbv,9258.153707476438,1.1946679e-05,3.019293580406095,0.0
Rbv,11641.939205466088,8.091166e-06,3.3850285435075294,0.0
Rbv,14045.910610366274,1.2845121e-05,4.155887868682947,0.0
Rbv,16481.76831347912,7.428521e-06,3.0262150425951573,0.0
Rbv,18842.700867130698,9.500645e-06,6.701657588458425,0.0
Cbv,59.465287053051256,1.3682877e-05,1.220347917631906,0.0
Cbv,78.5361367667524,1.5688142e-05,0.8152740382049463,0.0
Cbv,98.12799874618204,1.3423977e-05,0.6675557279074075,0.0
Cbv,117.45175412839015,1.2017485e-05,0.6276543954936261,0.0
Cbv,136.8438732130096,1.0573357e-05,0.6942040600147311,0.0
Cbv,155.6338470767854,8.358718e-06,0.6442971770448765,0.0
Cbv,172.98322093745884,6.9679204e-06,1.1063218174087797,0.0
Cbv,190.70025249785908,6.4220917e-06,0.9270069235636713,0.0
Rdv,3473.4213922833223,3.666046e-05,10.442732916834524,0.0
Rdv,6330.569546712843,1.0160825e-05,3.1442897816827764,0.0
Rdv,9070.655450194216,6.6155444e-06,2.401177681537934,0.0
Rdv,11792.625057086749,8.662374e-06,2.5786078945660846,0.0
Rdv,14784.270895133783,6.619991e-06,2.622845446393749,0.0
Rdv,17807.120084726463,5.7654047e-06,2.901178693832951,0.0
Rdv,20631.60999388516,5.8607784e-06,2.319434681776837,0.0
Rdv,23508.272480590662,6.8213812e-06,5.045602039163631,0.0
Cdv,0.7975977510213852,2.2785447e-05,6.197073248905581,0.0
Cdv,1.3701162040233612,1.1373179e-05,3.4969380685922378,0.0
Cdv,1.9329243153333664,9.198561e-06,2.085463140215778,0.0
Cdv,2.496106892824173,9.132965e-06,1.5904836836361558,0.0
Cdv,3.0346894413232803,8.224869e-06,1.3816347812922132,0.0
Cdv,3.568473234772682,8.528153e-06,1.1662268561322504,0.0
Cdv,4.1088270246982574,9.795252e-06,1.0792570378355133,0.0
Cdv,4.68905046582222,8.104193e-06,1.4789773009215623,0.0
Rav,15.742324709892273,9.734906e-06,43.0310262939252,0.0
Rav,27.49108874797821,1.2530739e-05,15.95725932899149,0.0
Rav,39.15233302116394,1.1142004e-05,9.573423908965598,0.0
Rav,50.58664155006409,7.5383623e-06,6.499428479339812,0.0
Rav,61.65002107620239,1.1925321e-05,6.434298594116573,0.0
Rav,72.26535940170288,1.4463884e-05,7.008463451808023,0.0
Rav,83.38823509216309,1.0037426e-05,7.816287906537458,0.0
Rav,94.5753288269043,9.786699e-06,8.65621691823014,0.0
