f_empirical_GHz,fd_pred_GHz,fd_true_GHz,fb_pred_GHz,fb_true_GHz,f_dom_pred_GHz,f_dom_true_GHz
43.39986175115207,3.4801734545127054,3.470031791724903,0.11715816231186837,0.1193238855335516,0.11715816231186837,0.1193238855335516
21.069032258064517,17.63646038768823,15.646299768184903,1.6630015894100354,1.639018555434463,1.6630015894100354,1.639018555434463
29.58078341013825,37.22522472316217,35.59930818468803,0.061139096134761366,0.06457445300321135,0.061139096134761366,0.06457445300321135
43.39986175115207,13.863731368163359,13.934972901311015,0.14127728255187777,0.14597853274721065,0.14127728255187777,0.14597853274721065
43.39986175115207,1.760725278489019,1.7586964931971427,0.09942375563077412,0.10180052807813832,0.09942375563077412,0.10180052807813832
43.39986175115207,6.209033032748021,6.170536255185596,0.11070640814034907,0.11238399746113639,0.11070640814034907,0.11238399746113639
43.39986175115207,1.540917496553416,1.457265969463372,0.2372052690579072,0.2415383333343443,0.2372052690579072,0.2415383333343443
43.19958525345622,15.97519173840618,15.873501307789612,0.08532897923476136,0.08210296682568707,0.08532897923476136,0.08210296682568707
43.39986175115207,3.0650243999075713,3.0907560272929344,0.41974852068069873,0.4085490436175681,0.41974852068069873,0.4085490436175681
43.39986175115207,1.8385410998467386,1.8400873019020139,0.13380114610083643,0.13251334392527123,0.13380114610083643,0.13251334392527123
43.19958525345622,18.741200127884166,17.790771444576436,0.0752907122919478,0.07645357783931517,0.0752907122919478,0.07645357783931517
43.39986175115207,2.1139611697800107,2.1006631558090874,0.3008618258193288,0.30177658630478593,0.3008618258193288,0.30177658630478593
43.39986175115207,3.9180532812356343,3.91251478292352,0.0966171563357694,0.09701519653044274,0.0966171563357694,0.09701519653044274
43.39986175115207,12.29858967005879,12.990243562749535,0.08860957939435164,0.08965277963958435,0.08860957939435164,0.08965277963958435
43.39986175115207,3.570923040651827,3.545493494436146,0.13672240752995693,0.13601845807880178,0.13672240752995693,0.13601845807880178
43.29972350230415,8.181653714742113,8.124916677988493,0.09191987399701389,0.09390777398907718,0.09191987399701389,0.09390777398907718
43.19958525345622,18.211356865856807,17.61630503925336,0.33808120001147357,0.34366151608131174,0.33808120001147357,0.34366151608131174
43.39986175115207,3.4552197969982528,3.4473080259971116,0.058843936182578827,0.05530950292767014,0.058843936182578827,0.05530950292767014
43.39986175115207,9.02254043530835,8.538634791181575,0.21287200917161286,0.21906539763685956,0.21287200917161286,0.21906539763685956
43.39986175115207,2.2651302306674177,2.303076460986325,0.3700936961849436,0.3607997532663793,0.3700936961849436,0.3607997532663793
42.99930875576037,12.754656330177337,13.115485524417007,0.12098784294425532,0.12414590156415183,0.12098784294425532,0.12414590156415183
43.39986175115207,2.471886847485206,2.440745800671939,0.15198165969647906,0.15597449913447659,0.15198165969647906,0.15597449913447659
43.39986175115207,9.314101745574,9.219879786601403,0.32155997633315164,0.3215102870633941,0.32155997633315164,0.3215102870633941
43.39986175115207,5.186094427809245,5.161023510798007,0.04941804509191488,0.04782548282123313,0.04941804509191488,0.04782548282123313
43.39986175115207,1.7075290945381225,1.5904453088774784,1.660501522668576,1.6541803788075946,1.660501522668576,1.5904453088774784
43.39986175115207,3.184354278579355,3.230626297269394,0.11933548071468904,0.12083152540066808,0.11933548071468904,0.12083152540066808
43.29972350230415,13.574033182897846,13.661401692584498,0.07724184971158393,0.07782749756132316,0.07724184971158393,0.07782749756132316
43.19958525345622,9.845234716169355,9.619337651949495,2.597363049888431,2.1610339985884006,2.597363049888431,2.1610339985884006
43.19958525345622,4.995912451184578,4.688373912566032,0.16321702281269157,0.16028191611747597,0.16321702281269157,0.16028191611747597
43.19958525345622,12.193360258652762,11.88141725586467,0.28031602478377576,0.2834739885938026,0.28031602478377576,0.2834739885938026
42.99930875576037,32.97707399240435,32.94172953090569,0.0958309663039726,0.09878567939668541,0.0958309663039726,0.09878567939668541
43.39986175115207,2.113716231832843,2.1527143395832455,0.12215418120132429,0.12325148926811492,0.12215418120132429,0.12325148926811492
43.29972350230415,1.5918752605649573,1.5555686746418373,0.057783756175605785,0.058886980965422,0.057783756175605785,0.058886980965422
43.39986175115207,6.958864158934684,7.246419594373688,0.0587284011138093,0.06215558443418989,0.0587284011138093,0.06215558443418989
43.39986175115207,4.115345856036876,4.026192937783462,0.12764519557267148,0.12885470050208286,0.12764519557267148,0.12885470050208286
43.39986175115207,5.444601408588209,5.614960316448734,0.1259913128299548,0.126217690721558,0.1259913128299548,0.126217690721558
43.19958525345622,8.396773518228528,8.543148010376745,0.14929354457423233,0.15113420658294036,0.14929354457423233,0.15113420658294036
43.39986175115207,4.730467841972439,4.431656090449637,0.09590343655292513,0.09696642326486575,0.09590343655292513,0.09696642326486575
43.29972350230415,10.786022910202263,10.931531443842252,0.1550966077441385,0.16127470561329224,0.1550966077441385,0.16127470561329224
42.99930875576037,4.3779243924366265,4.370663430147998,0.051572996722026934,0.05005139162910262,0.051572996722026934,0.05005139162910262
43.39986175115207,3.578469841189012,3.5896724530354542,0.08577845430045841,0.08709703917389389,0.08577845430045841,0.08709703917389389
43.39986175115207,2.8633219103747254,2.847180264501911,0.23417752833341307,0.23941735709540496,0.23417752833341307,0.23941735709540496
43.39986175115207,20.422750178580742,21.17698690249684,0.9152304136064267,0.949488494218766,0.9152304136064267,0.949488494218766
43.39986175115207,5.170208560804424,5.184224604634308,0.06117982292724926,0.0582407017326819,0.06117982292724926,0.0582407017326819
43.39986175115207,2.1816217526843906,2.1655888913126,0.3060817643438715,0.3112990304728951,0.3060817643438715,0.3112990304728951
